

  1%|▌                                                                             | 1/150 [00:09<23:00,  9.27s/it, loss_test=1.005]
Epoch: 00, Training Loss: 0.9108, Test Loss: 1.0046


  2%|█▌                                                                            | 3/150 [00:27<22:28,  9.17s/it, loss_test=0.730]
Epoch: 02, Training Loss: 0.6953, Test Loss: 0.7301


  3%|██▌                                                                           | 5/150 [00:45<22:01,  9.11s/it, loss_test=0.653]
Epoch: 04, Training Loss: 0.6394, Test Loss: 0.6531


  5%|███▋                                                                          | 7/150 [01:03<21:32,  9.04s/it, loss_test=0.628]

  5%|████▏                                                                         | 8/150 [01:12<20:58,  8.86s/it, loss_test=0.621]
Epoch: 07, Training Loss: 0.6106, Test Loss: 0.6213


  7%|█████▏                                                                       | 10/150 [01:29<20:23,  8.74s/it, loss_test=0.612]
Epoch: 09, Training Loss: 0.6008, Test Loss: 0.6121


  8%|██████▏                                                                      | 12/150 [01:47<20:24,  8.87s/it, loss_test=0.605]
Epoch: 11, Training Loss: 0.5938, Test Loss: 0.6047

  9%|██████▋                                                                      | 13/150 [01:56<20:17,  8.89s/it, loss_test=0.603]


 10%|███████▋                                                                     | 15/150 [02:14<20:01,  8.90s/it, loss_test=0.599]
Epoch: 14, Training Loss: 0.5868, Test Loss: 0.5987


 11%|████████▋                                                                    | 17/150 [02:32<19:47,  8.93s/it, loss_test=0.596]
Epoch: 16, Training Loss: 0.5833, Test Loss: 0.5958


 13%|█████████▊                                                                   | 19/150 [02:50<19:32,  8.95s/it, loss_test=0.594]
Epoch: 18, Training Loss: 0.5806, Test Loss: 0.5935


 14%|██████████▊                                                                  | 21/150 [03:08<19:19,  8.99s/it, loss_test=0.592]
Epoch: 20, Training Loss: 0.5784, Test Loss: 0.5921


 15%|███████████▊                                                                 | 23/150 [03:25<18:58,  8.96s/it, loss_test=0.591]
Epoch: 22, Training Loss: 0.5765, Test Loss: 0.5908


 17%|████████████▊                                                                | 25/150 [03:43<18:41,  8.97s/it, loss_test=0.590]
Epoch: 24, Training Loss: 0.5750, Test Loss: 0.5903


 18%|█████████████▊                                                               | 27/150 [04:01<18:20,  8.94s/it, loss_test=0.589]

 19%|██████████████▎                                                              | 28/150 [04:10<18:00,  8.86s/it, loss_test=0.589]
Epoch: 27, Training Loss: 0.5733, Test Loss: 0.5890

 19%|██████████████▉                                                              | 29/150 [04:19<17:55,  8.89s/it, loss_test=0.589]

 20%|███████████████▍                                                             | 30/150 [04:28<17:45,  8.88s/it, loss_test=0.589]

 21%|███████████████▉                                                             | 31/150 [04:37<17:35,  8.87s/it, loss_test=0.588]

 21%|████████████████▍                                                            | 32/150 [04:46<17:31,  8.91s/it, loss_test=0.588]

 22%|████████████████▉                                                            | 33/150 [04:55<17:32,  8.99s/it, loss_test=0.589]

 23%|█████████████████▍                                                           | 34/150 [05:04<17:25,  9.01s/it, loss_test=0.588]

 23%|█████████████████▉                                                           | 35/150 [05:13<17:21,  9.06s/it, loss_test=0.589]

 24%|██████████████████▍                                                          | 36/150 [05:22<17:09,  9.03s/it, loss_test=0.588]

 25%|██████████████████▉                                                          | 37/150 [05:31<17:04,  9.07s/it, loss_test=0.588]

 25%|███████████████████▌                                                         | 38/150 [05:40<16:49,  9.01s/it, loss_test=0.588]

 26%|████████████████████                                                         | 39/150 [05:49<16:38,  9.00s/it, loss_test=0.589]

 27%|████████████████████▌                                                        | 40/150 [05:58<16:25,  8.96s/it, loss_test=0.589]

 27%|█████████████████████                                                        | 41/150 [06:07<16:13,  8.93s/it, loss_test=0.589]

 28%|█████████████████████▌                                                       | 42/150 [06:16<16:04,  8.93s/it, loss_test=0.589]

 29%|██████████████████████                                                       | 43/150 [06:25<15:58,  8.96s/it, loss_test=0.589]

 29%|██████████████████████▌                                                      | 44/150 [06:34<15:48,  8.95s/it, loss_test=0.589]

 30%|███████████████████████                                                      | 45/150 [06:43<15:41,  8.96s/it, loss_test=0.589]

 31%|███████████████████████▌                                                     | 46/150 [06:52<15:40,  9.04s/it, loss_test=0.590]

 31%|████████████████████████▏                                                    | 47/150 [07:01<15:30,  9.04s/it, loss_test=0.589]

 32%|████████████████████████▋                                                    | 48/150 [07:10<15:22,  9.04s/it, loss_test=0.590]

 33%|█████████████████████████▏                                                   | 49/150 [07:19<15:19,  9.10s/it, loss_test=0.590]

 33%|█████████████████████████▋                                                   | 50/150 [07:28<15:14,  9.14s/it, loss_test=0.591]

 34%|██████████████████████████▏                                                  | 51/150 [07:38<15:06,  9.16s/it, loss_test=0.590]

 35%|██████████████████████████▋                                                  | 52/150 [07:47<14:56,  9.15s/it, loss_test=0.591]

 35%|███████████████████████████▏                                                 | 53/150 [07:56<14:56,  9.24s/it, loss_test=0.591]

 36%|███████████████████████████▋                                                 | 54/150 [08:05<14:45,  9.22s/it, loss_test=0.591]

 37%|████████████████████████████▏                                                | 55/150 [08:14<14:34,  9.21s/it, loss_test=0.592]

 37%|████████████████████████████▋                                                | 56/150 [08:23<14:07,  9.02s/it, loss_test=0.591]

 38%|█████████████████████████████▎                                               | 57/150 [08:32<14:00,  9.04s/it, loss_test=0.591]

 39%|█████████████████████████████▊                                               | 58/150 [08:41<13:57,  9.10s/it, loss_test=0.592]

 39%|██████████████████████████████▎                                              | 59/150 [08:51<13:54,  9.17s/it, loss_test=0.592]

 40%|██████████████████████████████▊                                              | 60/150 [09:00<13:55,  9.28s/it, loss_test=0.592]

 41%|███████████████████████████████▎                                             | 61/150 [09:10<14:04,  9.49s/it, loss_test=0.593]

